age,job,marital,education,default,balance,housing,day,month,duration,loan
59,admin.,married,secondary,no,2343,yes,5,may,1042,no
56,admin.,married,secondary,no,45,no,5,may,1467,no
41,technician,married,secondary,no,1270,yes,5,may,1389,no
55,services,married,secondary,no,2476,yes,5,may,579,no
54,admin.,married,tertiary,no,184,no,5,may,673,no
42,management,single,tertiary,no,0,yes,5,may,562,yes
56,management,married,tertiary,no,830,yes,6,may,1201,yes
60,retired,divorced,secondary,no,545,yes,6,may,1030,no
37,technician,married,secondary,no,1,yes,6,may,608,no
28,services,single,secondary,no,5090,yes,6,may,1297,no
38,admin.,single,secondary,no,100,yes,7,may,786,no
30,blue-collar,married,secondary,no,309,yes,7,may,1574,no
29,management,married,tertiary,no,199,yes,7,may,1689,yes
46,blue-collar,single,tertiary,no,460,yes,7,may,1102,no
31,technician,single,tertiary,no,703,yes,8,may,943,no
35,management,divorced,tertiary,no,3837,yes,8,may,1084,no
32,blue-collar,single,primary,no,611,yes,8,may,541,no
49,services,married,secondary,no,-8,yes,8,may,1119,no
41,admin.,married,secondary,no,55,yes,8,may,1120,no
49,admin.,divorced,secondary,no,168,yes,8,may,513,yes
28,admin.,divorced,secondary,no,785,yes,8,may,442,no
43,management,single,tertiary,no,2067,yes,8,may,756,no
43,management,divorced,tertiary,no,388,yes,8,may,2087,no
43,blue-collar,married,primary,no,-192,yes,8,may,1120,no
37,unemployed,single,secondary,no,381,yes,8,may,985,no
35,blue-collar,single,secondary,no,40,yes,9,may,617,no
31,technician,single,tertiary,no,22,yes,9,may,483,no
43,blue-collar,single,secondary,no,3,yes,9,may,929,no
31,admin.,married,secondary,no,307,yes,9,may,538,no
28,blue-collar,single,secondary,no,759,yes,9,may,710,no
32,blue-collar,married,secondary,yes,-1,yes,9,may,653,no
60,technician,married,primary,no,65,yes,9,may,1028,no
26,blue-collar,single,secondary,no,82,yes,9,may,654,no
40,blue-collar,married,secondary,no,10,yes,9,may,1692,no
33,blue-collar,divorced,primary,no,390,yes,9,may,665,no
32,management,single,tertiary,no,311,no,12,may,757,no
35,blue-collar,married,primary,no,414,no,13,may,504,no
33,management,divorced,secondary,no,5,yes,13,may,1346,no
38,management,married,tertiary,no,119,yes,13,may,568,no
23,entrepreneur,single,primary,no,4,yes,13,may,395,no
60,blue-collar,married,primary,no,1262,yes,13,may,1015,yes
48,management,married,tertiary,no,1949,yes,13,may,683,no
45,entrepreneur,divorced,tertiary,no,-395,yes,13,may,470,no
36,blue-collar,married,secondary,no,1165,yes,13,may,1001,no
52,management,married,unknown,no,2240,yes,13,may,845,no
35,blue-collar,divorced,primary,no,300,yes,13,may,945,no
43,technician,married,secondary,no,3285,yes,13,may,1721,no
52,housemaid,married,secondary,no,3923,yes,14,may,942,no
53,technician,divorced,primary,no,1443,yes,14,may,476,no
48,blue-collar,divorced,primary,no,24,yes,14,may,832,no
41,blue-collar,single,primary,no,1618,yes,14,may,1553,no
39,management,divorced,tertiary,no,517,yes,14,may,1328,yes
59,retired,married,secondary,no,1521,yes,14,may,1125,yes
41,blue-collar,married,secondary,no,2823,yes,14,may,858,no
48,blue-collar,married,secondary,no,1405,yes,14,may,629,no
40,admin.,married,secondary,no,1535,yes,14,may,704,no
48,blue-collar,married,secondary,no,1596,yes,14,may,760,no
60,retired,married,primary,no,1542,yes,14,may,930,no
40,technician,single,unknown,no,3652,yes,14,may,1028,no
57,technician,married,tertiary,no,-1,no,14,may,850,no
51,blue-collar,married,secondary,no,7180,yes,14,may,927,no
41,blue-collar,divorced,secondary,no,5291,yes,14,may,1423,no
41,blue-collar,married,secondary,no,1384,yes,15,may,1162,no
52,blue-collar,divorced,primary,no,-191,yes,15,may,755,no
59,blue-collar,married,primary,no,320,yes,15,may,695,no
44,blue-collar,married,unknown,no,146,yes,15,may,483,no
49,unknown,married,primary,no,341,yes,15,may,520,yes
40,services,married,primary,no,-9,yes,15,may,920,no
41,admin.,married,primary,no,-306,yes,15,may,500,no
44,technician,married,tertiary,no,4580,yes,15,may,911,no
60,services,single,primary,no,313,yes,15,may,920,no
29,management,married,tertiary,no,10576,no,15,may,1224,no
41,retired,divorced,primary,no,-233,yes,15,may,1156,no
41,blue-collar,married,primary,no,2453,yes,15,may,1052,no
42,technician,single,secondary,no,1364,yes,15,may,1867,no
36,services,single,unknown,no,281,yes,16,may,515,no
39,technician,married,tertiary,no,94,yes,16,may,813,yes
31,self-employed,single,tertiary,no,144,yes,16,may,676,no
26,blue-collar,married,secondary,no,246,yes,16,may,1143,no
31,blue-collar,married,secondary,no,92,yes,16,may,688,no
29,admin.,single,secondary,no,163,yes,16,may,803,yes
37,services,divorced,secondary,no,49,yes,16,may,619,no
33,blue-collar,single,secondary,no,-416,yes,16,may,767,no
24,technician,single,secondary,no,409,yes,16,may,912,no
50,admin.,divorced,secondary,no,363,yes,16,may,1340,no
